feature,importance_mean,importance_std
pvlib_clear_sky_index_mean,181.4519287109375,82.14134642505346
wind_speed_max,158.090283203125,27.65329505647404
temperature_min,122.0470703125,39.196835213748734
daily_total_lag_14d,94.6506591796875,36.34052100600934
humidity_mean_lag_1d,85.1831787109375,45.243215242739915
humidity_min,75.611328125,49.25481763176987
daily_total_roll_std_14d,68.9829345703125,24.246203456548727
month_cos,62.1552978515625,27.836503410196983
temperature_mean,60.752001953125,26.999850843335462
radiation_max,55.1824462890625,28.727939942653034
daily_max_kJ_m2,55.169873046875,28.72351307514804
daily_total_roll_min_7d,45.9525146484375,31.98143612679992
sim_cell_temperature_mean,44.961572265625,22.382364279688
temperature_min_lag_1d,37.47822265625,33.23507684125291
clear_sky_proxy_max,33.32294921875,40.04738306233018
daily_total_lag_3d,24.869482421875,25.712319906853047
humidity_mean_lag_7d,22.9195068359375,18.35141838834001
clear_sky_proxy_sum,19.353173828125,33.42469738125674
clear_sky_proxy_mean,19.3449951171875,33.42127255800535
doy_sin,18.368408203125,7.6637595627201955
clear_sky_index_mean_lag_7d,17.5847900390625,34.97006041174857
temperature_mean_lag_7d,15.728515625,8.032846427212153
humidity_max,15.6279296875,19.434050034883665
pvlib_clear_sky_max,14.557080078125,33.65131762972936
wind_speed_mean,13.6934326171875,28.32954946999474
month_sin,12.779931640625,3.8289560781372236
daily_total_roll_max_7d,12.4619140625,8.689071643469887
pressure_mean,11.539794921875,7.5177362644909485
daily_total_lag_7d,11.3847900390625,25.23690085071844
radiation_sum_lag_7d,11.3710693359375,25.227438198578014
daily_total_lag_2d,9.80791015625,9.996183558094533
daily_total_roll_min_14d,8.7217041015625,11.152917102539204
sim_pv_dc_max,8.0849365234375,6.6656657692511505
sim_pv_ac_max,8.0676513671875,6.653615757530206
daily_total_roll_mean_7d,6.4617919921875,6.754911253967014
sim_cell_temperature_mean_lag_7d,4.508935546875,3.058599222502313
solar_elevation_max,4.3949462890625,24.539508407473907
wind_speed_mean_lag_1d,4.363037109375,5.412708579971373
pvlib_clear_sky_index_mean_lag_1d,3.828369140625,1.9150713321159307
clear_sky_index_mean_lag_1d,3.5220947265625,3.253068537684745
doy_cos,3.33388671875,25.345667544775967
daily_total_roll_std_30d,3.3010009765625,22.16653709364937
daily_total_lag_30d,3.1482421875,3.396363486737526
daily_total_roll_mean_30d,3.1191650390625,23.710199162822942
pressure_mean_lag_7d,2.92939453125,1.7793985006577977
clear_sky_index_max,2.387109375,15.606281621318125
pvlib_solar_elevation_mean,2.1527099609375,22.944459613500012
pvlib_clear_sky_sum,1.5744873046875,24.019101063549762
pvlib_clear_sky_mean,1.571533203125,24.01688513542821
humidity_mean,1.465185546875,2.160123508750198
solar_elevation_mean,0.9590087890625,21.57608798739605
dow_cos,0.419873046875,2.270360740049349
temperature_max,0.2672119140625,0.2554904811844029
daily_total_roll_min_3d,0.213623046875,5.405331961462266
dow_sin,0.0385986328125,0.06386762146408614
temperature_mean_lag_1d,-0.1040283203125,14.897142056683535
wind_speed_mean_lag_7d,-0.2579833984375,4.623214623293038
daily_total_roll_min_30d,-0.3188720703125,0.7185525162610376
daily_total_roll_max_30d,-0.99423828125,0.8340673629601826
pvlib_clear_sky_index_mean_lag_7d,-0.9947998046875,6.999387017769506
sim_cell_temperature_max,-1.2223876953125,1.301306506578115
sim_pv_ac_sum_lag_7d,-1.416259765625,4.667951612880007
daily_total_roll_mean_3d,-1.6717529296875,4.942720187855993
wind_direction_mean,-2.0677001953125,2.27308882841605
temperature_max_lag_1d,-2.7619873046875,6.906642789976822
temperature_max_lag_7d,-3.1552490234375,22.445768635287873
sim_cell_temperature_mean_lag_1d,-3.176513671875,13.722635692099992
daily_total_roll_max_3d,-3.7392578125,14.48815751381595
seasonal7_for_target,-3.8081787109375,3.2679129512545577
daily_total_lag_6d,-3.8101318359375,3.269795393306184
daily_total_roll_mean_14d,-4.185400390625,10.29077693306917
radiation_sum_lag_1d,-4.3149658203125,3.254179915681228
daily_total_lag_1d,-4.3164306640625,3.255451503989026
daily_total_roll_max_14d,-4.784033203125,12.883717452374828
pvlib_solar_elevation_max,-5.835400390625,12.326498934765278
daily_total_roll_std_3d,-6.5935302734375,12.34517760819288
daily_mean_kJ_m2,-7.31083984375,9.184476215211095
radiation_sum,-7.3109375,9.184761182928108
daily_total_kJ_m2,-7.311279296875,9.185584124149536
radiation_mean,-7.31142578125,9.186006727118368
daily_total_roll_std_7d,-7.496337890625,3.7928914023938773
temperature_min_lag_7d,-7.79345703125,6.990275765035601
clear_sky_index_mean,-7.9624755859375,14.21073784336137
sim_pv_ac_sum,-9.7752685546875,20.416936783795926
sim_pv_ac_mean,-9.7754150390625,20.416140639673127
sim_pv_dc_sum,-9.7767822265625,20.411067402497906
sim_pv_dc_mean,-9.7787841796875,20.403564288203807
sim_pv_ac_sum_lag_1d,-10.7474609375,15.026466111251544
pressure_mean_lag_1d,-12.269287109375,6.595474822092253
pvlib_clear_sky_index_max,-13.7621337890625,28.557252879419355
