month,MAE,RMSE,n
1,1513.9134076942983,2075.6566851815746,93
2,2177.0553528514606,3191.8454825716717,84
3,2165.0607494426813,2763.107287859708,93
4,1936.3969794591433,2328.4431599465324,90
5,2448.332874333274,3267.559709628071,93
6,2195.736506080058,3383.378118404152,90
7,1663.7349343761475,2173.7596355578926,93
8,1771.8206222054623,2307.429939659677,93
9,2898.8177832049396,4004.4561338070957,90
10,1777.5270325419242,2379.384233784408,93
11,1278.36140324788,1789.3593320237921,90
12,1264.2530522392744,1851.8245169643508,92
