source_notebook,task,dataset_years,model_family,shown_rows_after_top3_ensemble
07_compact_multihorizon_24h_sequence_forecasting,multihorizon,20y,boosting/tree,4
07_compact_multihorizon_24h_sequence_forecasting,multihorizon,20y,deep_model,2
07_compact_multihorizon_24h_sequence_forecasting,multihorizon,20y,tabular_ml,4
07_compact_multihorizon_24h_sequence_forecasting__derived,daily_total,20y,deep_model,2
07_compact_multihorizon_24h_sequence_forecasting__derived,target_1h,20y,boosting/tree,4
07_compact_multihorizon_24h_sequence_forecasting__derived,target_1h,20y,deep_model,2
07_compact_multihorizon_24h_sequence_forecasting__derived,target_1h,20y,tabular_ml,4
07_compact_multihorizon_24h_sequence_forecasting__derived,target_24h,20y,boosting/tree,4
07_compact_multihorizon_24h_sequence_forecasting__derived,target_24h,20y,deep_model,2
07_compact_multihorizon_24h_sequence_forecasting__derived,target_24h,20y,tabular_ml,4
