rank_in_task_dataset,task,dataset_years,model,model_family,source_notebook,primary_test_RMSE,primary_val_RMSE,test_R2,selection_metric,val_RMSE,test_RMSE,val_daylight_RMSE,test_daylight_RMSE,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,train_seconds,note
1,target_24h,20y,CatBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,184.624,228.746,,test_h24_RMSE,164.652,183.221,228.746,254.467,86.55,177.893,184.624,2402.023,,20y target_24h derived from notebook 07 24h multihorizon output.
2,target_24h,20y,HistGradientBoosting,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,186.994,228.693,,test_h24_RMSE,164.592,182.092,228.693,253.003,76.854,176.303,186.994,2357.2,,20y target_24h derived from notebook 07 24h multihorizon output.
3,target_24h,20y,XGBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,187.184,228.878,,test_h24_RMSE,164.706,181.57,228.878,252.298,75.28,175.731,187.184,2355.934,,20y target_24h derived from notebook 07 24h multihorizon output.
4,target_24h,20y,Ridge,tabular_ml,07_compact_multihorizon_24h_sequence_forecasting__derived,187.237,242.803,,test_h24_RMSE,176.423,191.818,242.803,264.608,81.494,185.379,187.237,2436.041,,20y target_24h derived from notebook 07 24h multihorizon output.
5,target_24h,20y,LinearRegression,tabular_ml,07_compact_multihorizon_24h_sequence_forecasting__derived,187.324,243.072,,test_h24_RMSE,176.862,191.942,243.072,264.61,81.652,185.465,187.324,2438.366,,20y target_24h derived from notebook 07 24h multihorizon output.
6,target_24h,20y,RandomForest,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,189.035,233.941,,test_h24_RMSE,168.341,185.04,233.941,257.132,79.61,181.882,189.035,2430.186,,20y target_24h derived from notebook 07 24h multihorizon output.
7,target_24h,20y,GRU,deep_model,07_compact_multihorizon_24h_sequence_forecasting__derived,189.29,236.649,,test_h24_RMSE,170.919,187.349,236.649,259.522,103.793,180.169,189.29,2432.532,,20y target_24h derived from notebook 07 24h multihorizon output.
8,target_24h,20y,LSTM,deep_model,07_compact_multihorizon_24h_sequence_forecasting__derived,190.332,232.817,,test_h24_RMSE,168.186,186.211,232.817,257.902,103.411,181.194,190.332,2431.068,,20y target_24h derived from notebook 07 24h multihorizon output.
9,target_24h,20y,MLP,tabular_ml,07_compact_multihorizon_24h_sequence_forecasting__derived,197.998,246.563,,test_h24_RMSE,177.94,195.16,246.563,270.458,112.554,184.21,197.998,2465.834,,20y target_24h derived from notebook 07 24h multihorizon output.
10,target_24h,20y,SVR_RBF,tabular_ml,07_compact_multihorizon_24h_sequence_forecasting__derived,215.261,315.739,,test_h24_RMSE,228.95,243.657,315.739,335.339,149.776,236.624,215.261,2852.168,,20y target_24h derived from notebook 07 24h multihorizon output.
